Genus TaxID	Genus	Representative organism TaxID	Representative organism	Representative Organism Rank	Refseq ID
1835	Saccharopolyspora	405948	Saccharopolyspora erythraea NRRL 2338	no rank	NC_009142.1
292691	Gramella	411154	Gramella forsetii KT0803	no rank	NC_008571.1
316612	Methylibium	420662	Methylibium petroleiphilum PM1	no rank	NC_008825.1
836	Porphyromonas	431947	Porphyromonas gingivalis ATCC 33277	no rank	NC_010729.1
375288	Parabacteroides	435591	Parabacteroides distasonis ATCC 8503	no rank	NC_009615.1
6	Azorhizobium	438753	Azorhizobium caulinodans ORS 571	no rank	NC_009937.1
218207	Desulfatibacillum	439235	Desulfatibacillum alkenivorans AK-01	no rank	NC_011768.1
528	Ochrobactrum	439375	Ochrobactrum anthropi ATCC 49188	no rank	"NC_009668.1,NC_009667.1"
992401	Amycolicicoccus	443218	Amycolicicoccus subflavus DQS3-9A1	no rank	NC_015564.1
1573	Clavibacter	443906	Clavibacter michiganensis subsp michiganensis NCPPB 382	no rank	NC_009480.1
40566	Actinosynnema	446462	Actinosynnema mirum DSM 43827	no rank	NC_013093.1
43668	Brachybacterium	446465	Brachybacterium faecium DSM 4810	no rank	NC_013172.1
1707	Cellulomonas	446466	Cellulomonas flavigena DSM 20109	no rank	NC_014151.1
2013	Nocardiopsis	446468	Nocardiopsis dassonvillei subsp dassonvillei DSM 43111	no rank	"NC_014210.1,NC_014211.1"
283810	Stackebrandtia	446470	Stackebrandtia nassauensis DSM 44728	no rank	NC_013947.1
186188	Xylanimonas	446471	Xylanimonas cellulosilytica DSM 15894	no rank	NC_013530.1
161492	Anaeromyxobacter	447217	Anaeromyxobacter sp K	species	NC_011145.1
39643	Sorangium	448385	Sorangium cellulosum So ce56	no rank	NC_010162.1
1125	Microcystis	449447	Microcystis aeruginosa NIES-843	no rank	NC_010296.1
20	Phenylobacterium	450851	Phenylobacterium zucineum HLK1	no rank	NC_011144.1
178440	Opitutus	452637	Opitutus terrae PB90-1	no rank	NC_010571.1
44013	Polynucleobacter	452638	Polynucleobacter necessarius subsp necessarius STIR1	no rank	NC_010531.1
2063	Kitasatospora	452652	Kitasatospora setae KM-6054	no rank	NC_016109.1
1663	Arthrobacter	452863	Arthrobacter chlorophenolicus A6	no rank	NC_011886.1
1269	Micrococcus	465515	Micrococcus luteus NCTC 2665	no rank	NC_012803.1
561	Escherichia	469008	Escherichia coli BL21DE3	no rank	NC_012971.2
147067	Thermobispora	469371	Thermobispora bispora DSM 43833	no rank	NC_014165.1
191494	Conexibacter	469383	Conexibacter woesei DSM 14684	no rank	NC_013739.1
2019	Thermomonospora	471852	Thermomonospora curvata DSM 43183	no rank	NC_013510.1
84756	Beutenbergia	471853	Beutenbergia cavernae DSM 12333	no rank	NC_012669.1
120831	Dyadobacter	471854	Dyadobacter fermentans DSM 18053	no rank	NC_013037.1
1851	Saccharomonospora	471857	Saccharomonospora viridis DSM 43017	no rank	NC_013159.1
53460	Nakamurella	479431	Nakamurella multipartita DSM 44233	no rank	NC_013235.1
2000	Streptosporangium	479432	Streptosporangium roseum DSM 43021	no rank	NC_013595.1
414878	Catenulispora	479433	Catenulispora acidiphila DSM 44928	no rank	NC_013131.1
2056	Sphaerobacter	479434	Sphaerobacter thermophilus DSM 20745	no rank	"NC_013523.1,NC_013524.1"
182639	Kribbella	479435	Kribbella flavida DSM 17836	no rank	NC_013729.1
84111	Eggerthella	479437	Eggerthella lenta DSM 2243	no rank	NC_013204.1
1107	Chloroflexus	480224	Chloroflexus sp Y-400-fl	species	NC_012032.1
511745	Methylacidiphilum	481448	Methylacidiphilum infernorum V4	no rank	NC_010794.1
79328	Chitinophaga	485918	Chitinophaga pinensis DSM 2588	no rank	NC_013132.1
10	Cellvibrio	498211	Cellvibrio japonicus Ueda107	no rank	NC_010995.1
2697	Heliobacterium	498761	Heliobacterium modesticaldum Ice1	no rank	NC_010337.2
162027	Haliangium	502025	Haliangium ochraceum DSM 14365	no rank	NC_013440.1
107	Spirosoma	504472	Spirosoma linguale DSM 74	no rank	NC_013730.1
65551	Meiothermus	504728	Meiothermus ruber DSM 1279	no rank	NC_013946.1
75	Caulobacter	509190	Caulobacter segnis ATCC 21756	no rank	NC_014100.1
1754	Thermoanaerobacter	509193	Thermoanaerobacter brockii subsp finnii Ako-1	no rank	NC_014964.1
693074	Caldisericum	511051	Caldisericum exile AZM16c01	no rank	NC_017096.1
1485	Clostridium	515621	Clostridium botulinum Ba4 str 657	no rank	NC_012658.1
13	Dictyoglomus	515635	Dictyoglomus turgidum DSM 6724	no rank	NC_011661.1
100715	Chloroherpeton	517418	Chloroherpeton thalassium ATCC 35110	no rank	NC_011026.1
475087	Methanosphaerula	521011	Methanosphaerula palustris E1-9c	no rank	NC_011832.1
1016	Capnocytophaga	521097	Capnocytophaga ochracea DSM 7271	no rank	NC_013162.1
29330	Alicyclobacillus	521098	Alicyclobacillus acidocaldarius subsp acidocaldarius DSM 446	no rank	NC_013205.1
118	Planctomyces	521674	Planctomyces limnophilus DSM 3776	no rank	NC_014148.1
327159	Candidatus Accumulibacter	522306	Candidatus Accumulibacter phosphatis clade IIA str UW-1	no rank	NC_013194.1
261963	Kangiella	523791	Kangiella koreensis DSM 16069	no rank	NC_013166.1
898	Desulfomicrobium	525897	Desulfomicrobium baculatum DSM 4028	no rank	NC_013173.1
262406	Thermobaculum	525904	Thermobaculum terrenum ATCC BAA-798	no rank	"NC_013526.1,NC_013525.1"
53634	Acidimicrobium	525909	Acidimicrobium ferrooxidans DSM 10331	no rank	NC_013124.1
29521	Brachyspira	526224	Brachyspira murdochii DSM 12563	no rank	NC_014150.1
1860	Geodermatophilus	526225	Geodermatophilus obscurus DSM 43160	no rank	NC_013757.1
123	Pirellula	530564	Pirellula staleyi DSM 6068	no rank	NC_013720.1
283	Comamonas	543891	Comamonas testosteroni CNB-1	no rank	NC_013446.2
970	Selenomonas	546271	Selenomonas sputigena ATCC 35185	no rank	NC_015437.1
234	Brucella	546272	Brucella melitensis ATCC 23457	no rank	"NC_012442.1,NC_012441.1"
670486	Dehalogenimonas	552811	Dehalogenimonas lykanthroporepellens BL-DC-9	no rank	NC_014314.1
168470	Laribacter	557598	Laribacter hongkongensis HLHK9	no rank	NC_012559.1
1578	Lactobacillus	568703	Lactobacillus rhamnosus GG	no rank	NC_013198.1
85072	Allochromatium	572477	Allochromatium vinosum DSM 180	no rank	NC_013851.1
28196	Arcobacter	572480	Arcobacter nitrofigilis DSM 7299	no rank	NC_014166.1
76890	Asticcacaulis	573065	Asticcacaulis excentricus CB 48	no rank	"NC_014816.1,NC_014817.1"
872	Desulfovibrio	573370	Desulfovibrio magneticus RS-1	no rank	NC_012796.1
127	Isosphaera	575540	Isosphaera pallida ATCC 43644	no rank	NC_014962.1
893	Desulfobulbus	577650	Desulfobulbus propionicus DSM 2032	no rank	NC_014972.1
